Molecule,QED,LogP,SA
2output_668_Fragments_.xyz,0.058200465381581676,0.3804400000000001,6.940556561395465
2output_480_Fragments_.xyz,0.06579240008339952,1.6301300000000003,7.00687273981305
2output_308_Fragments_.xyz,0.036506494908246916,-0.10274000000000048,6.3231624869138345
2output_741_Fragments_.xyz,0.05125536712355414,1.3246200000000001,6.8923302197762
2output_421_Fragments_.xyz,0.0467213050830742,1.9080100000000002,7.281302982585897
2output_200_Fragments_.xyz,0.024391473948596584,-6.381159999999999,7.253033342329397
2output_155_Fragments_.xyz,0.11241249371738317,-1.8234899999999983,8.373425588637932
2output_140_Fragments_.xyz,0.12292734112225144,-0.8020699999999982,8.747597319244848
2output_188_Fragments_.xyz,0.03749857419381354,0.09226,6.895382160898436
2output_21_Fragments_.xyz,0.03816545753024123,1.0906,7.09980949615375
2output_597_Fragments_.xyz,0.042286088672858956,2.101630000000001,7.114651405709272
2output_380_Fragments_.xyz,0.07294545153065209,-2.1741299999999977,8.469707649707207
2output_801_Fragments_.xyz,0.0411213174591986,1.9219200000000003,7.463846897787337
2output_937_Fragments_.xyz,0.06131201535772132,0.09794000000000022,7.343796187636331
2output_978_Fragments_.xyz,0.04847109492352525,2.2161600000000004,7.1056788283817385
2output_5_Fragments_.xyz,0.09163114068529277,-3.055009999999998,8.503312223901613
2output_525_Fragments_.xyz,0.05321881468734406,1.69193,6.9295992655296965
2output_476_Fragments_.xyz,0.0712627888403805,-1.1314699999999993,7.2396418731499095
2output_1009_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_342_Fragments_.xyz,0.04753415799140321,0.14474999999999993,6.22626741808332
2output_335_Fragments_.xyz,0.04064479117322923,-1.594269999999999,6.598895086245975
2output_934_Fragments_.xyz,0.14605865764348044,-1.6039699999999977,8.47170508874514
2output_253_Fragments_.xyz,0.041484081858685545,0.6268400000000006,7.249051687167895
2output_409_Fragments_.xyz,0.052211905849673286,1.4710300000000005,7.425400889765913
2output_869_Fragments_.xyz,0.12809081391866223,-3.0003799999999976,8.478645502575755
2output_481_Fragments_.xyz,0.1042710990010705,-1.9674999999999976,8.547867862304699
2output_186_Fragments_.xyz,0.040600970278388264,-1.9543799999999998,6.44916050272475
2output_660_Fragments_.xyz,0.03479996058189335,0.1284299999999999,6.435069627926272
2output_566_Fragments_.xyz,0.04435803927731578,0.9616000000000003,7.76559508466794
2output_565_Fragments_.xyz,0.13052464415091605,-2.018009999999998,8.395188080361978
2output_692_Fragments_.xyz,0.12970543023053796,-0.703669999999998,8.36654456869319
2output_7_Fragments_.xyz,0.16985408351732556,-1.868319999999998,8.465947858971942
2output_16_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_956_Fragments_.xyz,0.043141573029382846,-0.9109499999999999,6.081452810184194
2output_202_Fragments_.xyz,0.08688802160258481,3.222210000000001,6.499056214100646
2output_599_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_593_Fragments_.xyz,0.04668423630628132,0.3397200000000004,7.389013600293397
2output_592_Fragments_.xyz,0.037550340296621194,-0.5351699999999998,6.507263474429777
2output_887_Fragments_.xyz,0.043141573029382846,-0.9109499999999999,6.081452810184194
2output_265_Fragments_.xyz,0.04624480652973166,-0.5291899999999989,7.2761533018972635
2output_830_Fragments_.xyz,0.04709525801546917,0.5845500000000003,6.777534187447795
2output_1015_Fragments_.xyz,0.043437271810312254,3.0803400000000005,6.6625212354657055
2output_800_Fragments_.xyz,0.06579240008339952,1.6301300000000003,7.00687273981305
2output_632_Fragments_.xyz,0.06905463656801886,-1.4581599999999981,6.978481121762133
2output_764_Fragments_.xyz,0.15113102590922758,-1.7600899999999982,8.540134443990233
2output_696_Fragments_.xyz,0.06227464142668669,0.63221,7.113675584560067
2output_677_Fragments_.xyz,0.03508730736820608,-0.3979400000000002,7.711588775327216
2output_391_Fragments_.xyz,0.04717977264666934,-1.5330299999999992,7.238045696459028
2output_650_Fragments_.xyz,0.05141595959473354,2.7107400000000004,2.8993841436870724
2output_865_Fragments_.xyz,0.034128010830779446,-0.34155,7.847265386052994
2output_420_Fragments_.xyz,0.11070580317417225,-2.030899999999998,8.337671401277422
2output_340_Fragments_.xyz,0.20258129294333266,-0.8597899999999978,8.505796687884807
2output_220_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_706_Fragments_.xyz,0.04473725360152213,0.4585600000000001,6.432057474059988
2output_720_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_248_Fragments_.xyz,0.05125536712355414,1.3246200000000001,6.8923302197762
2output_913_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_651_Fragments_.xyz,0.03500398673449972,-1.4215899999999997,7.425004932616005
2output_997_Fragments_.xyz,0.06610768751085325,2.26695,2.366628992363914
2output_950_Fragments_.xyz,0.03396577768987679,-1.50836,6.4695162659966226
2output_365_Fragments_.xyz,0.05321881468734406,1.69193,6.9295992655296965
2output_6_Fragments_.xyz,0.03439292668681286,-1.4131899999999997,7.782481961976142
2output_167_Fragments_.xyz,0.0743364054808761,0.16914000000000076,7.412972204093338
2output_55_Fragments_.xyz,0.1353345423923347,-0.13675999999999805,8.36010439990283
